# ----------------------------------------
# Classplay
# Acesso às páginas-Guia 3
# 20250802-20250831
# ----------------------------------------

Caminho da página e classe da tela,Visualizações,Usuários ativos,Visualizações por usuário ativo,Contagem de eventos,Eventos principais,Receita total
/group/overview.php,3,3,1,8,0,0
/question/banks.php,3,3,1,9,0,0
/turmas-templo/controle-templo/automao-para-rh/lista-de-agentes-gpt-avanados,3,2,1.5,3,0,0
/turmas-templo/controle-templo/turma-brasas-iaedu,3,2,1.5,4,0,0
/turmas-templo/controle-templo/wow-templo/controle/sala-dos-professores,3,2,1.5,7,0,0
/Controle-17a5c644545480bca6f1cbd4b47816ab,2,1,2,2,0,0
/Onboarding-Templo-1d75c6445454801aa6b6eae9ba98bc7e,2,1,2,3,0,0
/admin/roles/check.php,2,2,1,6,0,0
/admin/tool/dataprivacy/summary.php,2,1,2,5,0,0
/admin/tool/lp/plans.php,2,1,2,6,0,0
/admin/tool/lp/user_evidence_list.php,2,1,2,6,0,0
/admin/tool/uploadcourse/index.php,2,2,1,5,0,0
/admin/tool/usertours/configure.php,2,1,2,5,0,0
/cohort/upload.php,2,2,1,6,0,0
/conteudo/cursos,2,2,1,2,0,0
/course/editcategory.php,2,2,1,7,0,0
/filter/manage.php,2,1,2,6,0,0
/mod/forum/post.php,2,1,2,10,0,0
/mod/forum/subscribers.php,2,1,2,6,0,0
/mod/forum/user.php,2,1,2,5,0,0
/report/loglive/index.php,2,2,1,4,0,0
/turmas-templo/controle-templo/contato-do-templo,2,2,1,3,0,0
/turmas-templo/controle-templo/turma-dannemann-ia-law/mdulo-4-estratgias-para-implementao-e-uso-responsvel-da-ia-no-direito,2,2,1,4,0,0
/turmas-templo/controle-templo/wow-templo/controle/estratgia-2025/okrs-por-equipe/orks-2025-marketing,2,2,1,2,0,0
/turmas-templo/controle-templo/wow-templo/controle/repositrio-de-contedos/documentao-classplay-moodle,2,1,2,4,0,0
/Controle-Templo-1515c644545480ecbca8e0668453d1b3,1,1,1,3,0,0
/M-DULO-1-Fundamentos-e-Engenharia-de-Prompts-1cb5c644545481a68d82f0630e86e4d1,1,1,1,1,0,0
/M-DULO-2-Toolbox-Generativo-1cb5c644545481088542ccb0ebd2d4ea,1,1,1,1,0,0
/M-DULO-3-Agentes-de-IA-1cb5c6445454811c8b4dd581266c576a,1,1,1,1,0,0
/M-DULO-4-Generative-Mkt-in-Action-1cb5c64454548187afbff5818879d9a3,1,1,1,2,0,0
/Onboarding-de-Professores-as-1d75c6445454809b8d3cce3ecd93f567,1,1,1,3,0,0
/Perfil-dos-Monges-1755c64454548011bf71ca3252d76039,1,1,1,1,0,0
/Reposit-rio-de-Conte-dos-1855c644545480aba833fe69c6bddc95,1,1,1,6,0,0
/Turma-JBS-IA-MKT-1cb5c64454548004a804db858b7891d6,1,1,1,1,0,0
/admin/blocks.php,1,1,1,4,0,0
/admin/category.php,1,1,1,3,0,0
/admin/oauth2callback.php,1,1,1,5,0,0
/admin/roles/admins.php,1,1,1,3,0,0
/automacao-advogados/prompts-jurdicos,1,1,1,1,0,0
/automacao/agentes-prontos/assistente-de-criao-de-prompt-para-midjourney-prompt-reverso,1,1,1,2,0,0
