device,pageviews,sessions,users
/Onboarding-de-Professores-as-1d75c6445454809b8d3cce3ecd93f567,1,0,1
/Perfil-dos-Monges-1755c64454548011bf71ca3252d76039,1,0,1
/Reposit-rio-de-Conte-dos-1855c644545480aba833fe69c6bddc95,1,0,1
/Turma-JBS-IA-MKT-1cb5c64454548004a804db858b7891d6,1,0,1
/admin/blocks.php,1,0,1
/admin/category.php,1,0,1
/admin/oauth2callback.php,1,0,1
/admin/roles/admins.php,1,0,1
/automacao-advogados/prompts-jurdicos,1,0,1
/automacao/agentes-prontos/assistente-de-criao-de-prompt-para-midjourney-prompt-reverso,1,0,1
/automacao/agentes-prontos/prompt-engineer,1,0,1
/automacao/biblioteca-de-prompts/assistente-de-brainstorming,1,0,1
/badges/index.php,1,0,1
/badges/mybackpack.php,1,0,1
/blog/index.php,1,0,1
/cohort/customfield.php,1,0,1
/conteudo/biblioteca-templo,1,0,1
/conteudo/cursos/introducao-iagen/parte-1,1,0,1
/conteudo/cursos/mini-cursos-tematicos/imagem-vdeo,1,0,1
/course/completion.php,1,0,1
/course/customfield.php,1,0,1
/course/defaultcompletion.php,1,0,1
/grade/grading/manage.php,1,0,1
/iplookup/index.php,1,0,1
/lib/editor/tiny/plugins/media/manage.php,1,0,1
/login/index.php,1,0,1
/mod/aiagents/area.php,1,0,1
/mod/aiagents/index.php,1,0,1
/mod/aiprompts/objective.php,1,0,1
/mod/aitools/index.php,1,0,1
/mod/url/view.php,1,0,1
/payment/accounts.php,1,0,1
/report/backups/index.php,1,0,1
/report/eventlist/index.php,1,0,1
/tag/manage.php,1,0,1
/turmas-templo/controle-templo/automao-para-rh/lista-de-agentes-gpt-avanados/lista-de-agentes-gpt-avanados/interview-pro,1,0,1
/turmas-templo/controle-templo/automao-para-rh/lista-de-agentes-gpt-avanados/lista-de-agentes-gpt-avanados/tech-interview-guru,1,0,1
/turmas-templo/controle-templo/automao-para-rh/lista-de-agentes-gpt-avanados/lista-de-agentes-gpt-avanados/treinador-de-entrevistas-tcnicas,1,0,1
/turmas-templo/controle-templo/automao-para-rh/prompts-para-recursos-humanos/atrao-e-recrutamento-de-talento/analista-de-descrio-de-vaga-para-atrao-de-talentos,1,0,1
/turmas-templo/controle-templo/automao-para-rh/prompts-para-recursos-humanos/atrao-e-recrutamento-de-talento/gerador-de-descrio-de-vaga-atrativa-e-inclusiva,1,0,1
/turmas-templo/controle-templo/automao-para-rh/prompts-para-recursos-humanos/engajamento-e-cultura-organizacional,1,0,1
/turmas-templo/controle-templo/automao-para-rh/prompts-para-recursos-humanos/engajamento-e-cultura-organizacional/roteirista-para-onboarding-de-novos-colaboradores,1,0,1
/turmas-templo/controle-templo/cogna-advogados,1,0,1
/turmas-templo/controle-templo/ferramentas-0425/active-campaign,1,0,1
/turmas-templo/controle-templo/ferramentas-0425/ada,1,0,1
/turmas-templo/controle-templo/trabalhe-no-templo,1,0,1
/turmas-templo/controle-templo/turma-brasas-iaedu/mdulo-1-introduo-ia-generativa,1,0,1
