page,pageviews,sessions,users
Editar Área de texto e mídia: Inteligência Artificial: O Hype e a Realidade | IAG-MKTDigital. Freemium | Classplay,0.0,0,10.0
Editar Área de texto e mídia: Quer acessar esse curso e aprender como utilizar I... | IMGMVIDEO-FREE | Classplay,0.0,0,10.0
Editar Área de texto e mídia: Quer acessar esse curso e aprender como utilizar I... | MINI-IMAGEMVIDEO-FREE | Classplay,0.0,0,10.0
IAG-MKTDigital: Participantes | Classplay,0.0,0,10.0
LAPISRARO.0925T1: Apresentação Onboarding Classplay | Classplay,0.0,0,10.0
Novo Área de texto e mídia | MINI-IMAGEMVIDEO-FREE_1 | Classplay,0.0,0,10.0
PROMPTS: Participantes | Classplay,0.0,0,10.0
Classplay: teste classplay | Classplay,0.0,0,9.0
Curso: IA Generativa no Marketing Digital | Classplay,0.0,0,9.0
Editar Seção: Aula 1 - Criação e Edição de Imagens com IA | FCA: Formação de Talentos | Classplay,0.0,0,9.0
Editar curso: 🔒 IA para Advogados | Classplay,0.0,0,9.0
Educação,0.0,0,9.0
MÓDULO 3 - Agentes de IA,0.0,0,9.0
Novo Área de texto e mídia | TEMPLO.FCA | Classplay,0.0,0,9.0
Relatórios | Classplay,0.0,0,9.0
Biblioteca de Ferramentas,0.0,0,8.0
Configurações avançadas de tema | Aparência | Administração | Classplay,0.0,0,8.0
Construa Seu Prompt,0.0,0,8.0
Controle,0.0,0,8.0
Controle - Templo,0.0,0,8.0
Curso: O Básico de IA no Marketing | Classplay,0.0,0,8.0
Curso: 🔒 O Básico de I.A no Marketing | Classplay,0.0,0,8.0
LAPISRARO.0925T1: Participantes | Classplay,0.0,0,8.0
MÓDULO 1 - Fundamentos e Engenharia de Prompts,0.0,0,8.0
Rituais do Templo,0.0,0,8.0
AGENTS-FREE: Participantes | Classplay,0.0,0,7.0
Classplay: Relatório de atividade | Classplay,0.0,0,7.0
Curso: 🔒 IA para Advogados | Classplay,0.0,0,7.0
Curso: 🔒 Operações de Marketing | Classplay,0.0,0,7.0
"""Editar seção: 🔒 Crie tom de voz",0.0,0,0.0
Editar Área de texto e mídia: COMECE POR AQUI O que você quer resolver hoje? Fale s... | Classplay,0.0,0,7.0
FERRAMENTAS: Participantes | Classplay,0.0,0,7.0
Instalar plugins | Plugins | Administração | Classplay,0.0,0,7.0
Limpar caches | Desenvolvimento | Administração | Classplay,0.0,0,7.0
PODCASTS: Participantes | Classplay,0.0,0,7.0
Permissões em Curso: Introdução à IA Generativa | Classplay,0.0,0,7.0
Prompts para Recursos Humanos,0.0,0,7.0
AGENTESIA: Participantes | Classplay,0.0,0,6.0
Atividades do curso: Agente Generativo | Classplay,0.0,0,6.0
Classplay: Perfil público (Página padrão de perfil) | Classplay,0.0,0,6.0
Curso: Freemium Simulado 2 | Classplay,0.0,0,6.0
Curso: Webinars | Classplay,0.0,0,6.0
Curso: 🔒 IA Generativa no Marketing Digital | Classplay,0.0,0,6.0
Cursos | Aparência | Administração | Classplay,0.0,0,6.0
Debugging | Development | Administration | Classplay,0.0,0,6.0
EBOOKS: Participantes | Classplay,0.0,0,6.0
Editar Seção: Aula Extra - Engenharia de Prompts | FCA: Formação de Talentos | Classplay,0.0,0,6.0
Editar seção: | LLMS | Classplay,0.0,0,6.0
Editar Área de texto e mídia: Quer acessar esse curso e aprender tudo sobre o us... | MINI.BRANDING-FREE | Classplay,0.0,0,6.0
Guia de Cultura,0.0,0,6.0
IA-Advogados: Participantes | Classplay,0.0,0,6.0
Lista de Agentes GPT Avançados,0.0,0,6.0
MASTERCLASSES: Participantes | Classplay,0.0,0,6.0
MINI-BRANDING: Participantes | Classplay,0.0,0,6.0
MINI-PROMPTS: Participantes | Classplay,0.0,0,6.0
Novo Área de texto e mídia | AGENTS-FREE | Classplay,0.0,0,6.0
Novo Área de texto e mídia | IAGMKT-FREE | Classplay,0.0,0,6.0
Novo Área de texto e mídia | MINI-BASICOMKT-FREE | Classplay,0.0,0,6.0
Novo Área de texto e mídia | OPMKT-FREE | Classplay,0.0,0,6.0
Onboarding Templo,0.0,0,6.0
Prompts para Marketing,0.0,0,6.0
Sheila Moraes: Perfil público | Classplay,0.0,0,6.0
TEMPLO.FCA: Participantes | Classplay,0.0,0,6.0
Adicionar um novo curso | Classplay,0.0,0,5.0
Aprenda Rápido: Mini Cursos Temáticos,0.0,0,5.0
Atração e Recrutamento de Talento,0.0,0,5.0
Classplay: Aviso lorem ipsum | Classplay,0.0,0,5.0
Classplay: Modificar perfil | Classplay,0.0,0,5.0
Configurações HTML | Aparência | Administração | Classplay,0.0,0,5.0
Curso: Operações de Marketing | Classplay,0.0,0,5.0
Curso: Podcasts | Classplay,0.0,0,5.0
Curso: Tutoriais | Classplay,0.0,0,5.0
Curso: 🔒 O Básico de IAGen no Marketing Digital | Classplay,0.0,0,5.0
Editar AI Prompts: Prompts | PROMPTS | Classplay,0.0,0,5.0
Editar seção: Aula Extra - Engenharia de Prompts | TEMPLO.FCA | Classplay,0.0,0,5.0
Editar seção: Seção 1 | LLMS | Classplay,0.0,0,5.0
Erro | Classplay,0.0,0,5.0
IAG-MKTDigital | Classplay,0.0,0,5.0
IAGMKT-FREE: Participantes | Classplay,0.0,0,5.0
LAPISRARO.0925T1: Apresentação Masterclass | Classplay,0.0,0,5.0
LLMS: Participantes | Classplay,0.0,0,5.0
MINI-BASICOMKT: Participantes | Classplay,0.0,0,5.0
Navegação | Aparência | Administração | Classplay,0.0,0,5.0
Notifications | Administration | Classplay,0.0,0,5.0
Novo Arquivo | LAPISRARO.0925T1 | Classplay,0.0,0,5.0
Novo Área de texto e mídia | IAADV-FREE | Classplay,0.0,0,5.0
Novo Área de texto e mídia | MINI.BRANDING-FREE | Classplay,0.0,0,5.0
TEMPLOONB.0725T1: Diretrizes para Professores(a) | Classplay,0.0,0,5.0
TUTORIAIS: Participantes | Classplay,0.0,0,5.0
Todos os coortes | Classplay,0.0,0,5.0
Turma Dannemann - IA + LAW,0.0,0,5.0
WEBINARS: Participantes | Classplay,0.0,0,5.0
WOW Templo [ways of work],0.0,0,5.0
Construa Seu Prompt,0.0,0,4.0
Cultura Templo,0.0,0,4.0
Curso: BRASAS | Classplay,0.0,0,4.0
Editar Seção: Seção 1 | Modelos de IA | Classplay,0.0,0,4.0
"""Editar Área de texto e mídia: Crie tom de voz",0.0,0,0.0
Editar Área de texto e mídia: Descubra o que você vai encontrar nos 5 módulos do... | IAG-MKTDigital | Classplay,0.0,0,4.0
Editar Área de texto e mídia: Masterclass | IntroIAG | Classplay,0.0,0,4.0
Editar Área de texto e mídia: Quer acessar esse curso e aprender todo o básico d... | IAGMKT-FREE | Classplay,0.0,0,4.0
Editar Área de texto e mídia: Você está prestes a iniciar uma formação que não f... | TEMPLO.FCA | Classplay,0.0,0,4.0
Editar Área de texto e mídia: Área de texto e mídia | MINI.BRANDING-FREE | Classplay,0.0,0,4.0
Ferramentas externas LTI | Classplay,0.0,0,4.0
